set=
Ноутбук lenovo ideapad 110-15ibr,4 000 грн.,Калуш,https://www.olx.ua/uk/obyavlenie/noutbuk-lenovo-ideapad-110-15ibr-IDKUmBO.html?sd=1#45f168dad5;promoted
Ноутбук SAMSUNG Intel Core i5 4gen 8Gb RAM SSD120GB Intel HD Graphics,10 900 грн.,Калуш,https://www.olx.ua/uk/obyavlenie/noutbuk-samsung-intel-core-i5-4gen-8gb-ram-ssd120gb-intel-hd-graphics-IDKQu3U.html?sd=1#45f168dad5;promoted
Ноутбуки на запчастини Lenovo 110 100-15 V110-15 510s Yoga 300 500 510,1 000 грн.,Луцьк,https://www.olx.ua/uk/obyavlenie/noutbuki-na-zapchastini-lenovo-110-100-15-v110-15-510s-yoga-300-500-510-IDKUl2Z.html?sd=1#45f168dad5
"Карман-адаптер Maiwo для підключення 2.5"" HDD/SSD SATA 3.0",100 грн.,Углуватка,https://www.olx.ua/uk/obyavlenie/karman-adapter-maiwo-dlya-pdklyuchennya-2-5-hdd-ssd-sata-3-0-IDKY0rn.html?sd=1#45f168dad5
Блок питания для ноутбука Lenovo 90W 20V 4.5A IdeaPad Flex 14 (прямоуг,250 грн.,"Київ, Дарницький",https://www.olx.ua/uk/obyavlenie/blok-pitaniya-dlya-noutbuka-lenovo-90w-20v-4-5a-ideapad-flex-14-pryamoug-IDKY0qs.html?sd=1#45f168dad5
ноутбук Samsung R25,1 900 грн.,Хмельницький,https://www.olx.ua/uk/obyavlenie/noutbuk-samsung-r25-IDKY0pJ.html?sd=1#45f168dad5
"Карман Ugreen для SSD HDD диска, USB, кабель в комплекте, запаковаван",315 грн.,Херсон,https://www.olx.ua/uk/obyavlenie/karman-ugreen-dlya-ssd-hdd-diska-usb-kabel-v-komplekte-zapakovavan-IDK7rDv.html?sd=1#45f168dad5
Сумка чехол ноутбук,200 грн.,"Вінниця, Ленінський",https://www.olx.ua/uk/obyavlenie/sumka-chehol-noutbuk-IDoRFHa.html#45f168dad5
Сумка для ноутбука,400 грн.,"Київ, Оболонський",https://www.olx.ua/uk/obyavlenie/sumka-dlya-noutbuka-IDJC0r2.html?sd=1#45f168dad5
Ноутбук hp 256gb,2 800 грн.,"Харків, Індустріальний",https://www.olx.ua/uk/obyavlenie/noutbuk-hp-256gb-IDKlsqs.html?sd=1#45f168dad5
Переходник SSD DVD,175 грн.,"Луганськ, Жовтневий",https://www.olx.ua/uk/obyavlenie/perehodnik-ssd-dvd-IDHJl2A.html#45f168dad5
Ноутбук Dell Inspiron 7567,23 556 грн.,"Львів, Залізничний",https://www.olx.ua/uk/obyavlenie/noutbuk-dell-inspiron-7567-IDF7fW8.html#45f168dad5
"Клавиатура Asus K50, K51, K60, K70, X66, X70 MB348-003",200 грн.,Кетрисанівка,https://www.olx.ua/uk/obyavlenie/klaviatura-asus-k50-k51-k60-k70-x66-x70-mb348-003-IDKY0ly.html?sd=1#45f168dad5
Удобный переносной мини стол для ноутбука,600 грн.,"Київ, Печерський",https://www.olx.ua/uk/obyavlenie/udobnyy-perenosnoy-mini-stol-dlya-noutbuka-IDJDZrN.html?sd=1#45f168dad5;promoted
"Ноутбук HP ZBOOK 17 G2, i7-4810HQ, Quadro K3100M 4gb,240 SSD, 8 GB RAM",15 500 грн.,Новоград-Волинський,https://www.olx.ua/uk/obyavlenie/noutbuk-hp-zbook-17-g2-i7-4810hq-quadro-k3100m-4gb-240-ssd-8-gb-ram-IDK0tmi.html?sd=1#45f168dad5;promoted
Ноутбук hp ProBook 6470b,5 500 грн.,Хмельницький,https://www.olx.ua/uk/obyavlenie/noutbuk-hp-probook-6470b-IDKY0kx.html?sd=1#45f168dad5
Оперативная память,600 грн.,"Дніпро, Новокодацький",https://www.olx.ua/uk/obyavlenie/operativnaya-pamyat-IDJLcke.html?sd=1#45f168dad5
Продам ноутбук DELL STUDIO 1535 на запчасти,800 грн.,"Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/prodam-noutbuk-dell-studio-1535-na-zapchasti-IDKY0ib.html?sd=1#45f168dad5
"Dell XPS 9570 Intel Core I7 8750H, RAM 32 gb, SSD 1tb, 4k touchscreen",30 000 грн.,Черкаси,https://www.olx.ua/uk/obyavlenie/dell-xps-9570-intel-core-i7-8750h-ram-32-gb-ssd-1tb-4k-touchscreen-IDKLQpg.html#45f168dad5;promoted
Сумка Timbuk2 messenger bag размер М для ноутбука,1 150 грн.,Новоград-Волинський,https://www.olx.ua/uk/obyavlenie/sumka-timbuk2-messenger-bag-razmer-m-dlya-noutbuka-IDDVB8A.html#45f168dad5
Потужний Lenovo Intel i3 4x1.7Ghz/4Gb/500Gb/GeForce 920M 2Gb/4години,9 750 грн.,Калуш,https://www.olx.ua/uk/obyavlenie/potuzhniy-lenovo-intel-i3-4x1-7ghz-4gb-500gb-geforce-920m-2gb-4godini-IDKQtPc.html#45f168dad5;promoted
Acer NITRO 5 игровой GTX 1660 Ti 16 Ram,23 999 грн.,Вознесенськ,https://www.olx.ua/uk/obyavlenie/acer-nitro-5-igrovoy-gtx-1660-ti-16-ram-IDKQtIf.html#45f168dad5;promoted
Продам HP Pavilion dv6- 3105er,5 500 грн.,"Київ, Дарницький",https://www.olx.ua/uk/obyavlenie/prodam-hp-pavilion-dv6-3105er-IDKEGGz.html?sd=1#45f168dad5
Ноутбуки ASUS ROG Strix G15 G512LV/G531GT/G531GU/GL504GM/GX531GXR и др,26 327 грн.,"Миколаїв, Заводський",https://www.olx.ua/uk/obyavlenie/noutbuki-asus-rog-strix-g15-g512lv-g531gt-g531gu-gl504gm-gx531gxr-i-dr-IDGjF0i.html#45f168dad5;promoted
"Чехол для ноутбука, шелк, 36,5*28 см",369 грн.,"Дніпро, Амур-Нижньодніпровський",https://www.olx.ua/uk/obyavlenie/chehol-dlya-noutbuka-shelk-36-528-sm-IDDi7YA.html?sd=1#45f168dad5
Lenovo G555 15.6/AMD Athlon M320/Video HD4500/HDD 320Gb/ОЗУ 4Gb/Зарядк,2 000 грн.,Кам'янське,https://www.olx.ua/uk/obyavlenie/lenovo-g555-15-6-amd-athlon-m320-video-hd4500-hdd-320gb-ozu-4gb-zaryadk-IDKY083.html?sd=1#45f168dad5
Ноутбук compaq в ідеальному стані,4 157 грн.,Коломия,https://www.olx.ua/uk/obyavlenie/noutbuk-compaq-v-dealnomu-stan-IDKY0dX.html#45f168dad5
Hp mini,1 500 грн.,"Харків, Київський",https://www.olx.ua/uk/obyavlenie/hp-mini-IDKY0es.html?sd=1#45f168dad5
Продам ноутбук DELL STUDIO 1535 на запчасти,800 грн.,"Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/prodam-noutbuk-dell-studio-1535-na-zapchasti-IDKY0ib.html?sd=1#0da32e7073
"Dell XPS 9570 Intel Core I7 8750H, RAM 32 gb, SSD 1tb, 4k touchscreen",30 000 грн.,Черкаси,https://www.olx.ua/uk/obyavlenie/dell-xps-9570-intel-core-i7-8750h-ram-32-gb-ssd-1tb-4k-touchscreen-IDKLQpg.html#0da32e7073;promoted
